date,name,country,value
2019-10-27,Alexis Pinturault,AUT,100
2019-10-27,Dominik Raschner,AUT,0
2019-10-27,Stefano Gross,AUT,0
2019-10-27,Albert Popov,AUT,0
2019-10-27,Alexandr Horoshilov,AUT,0
2019-10-27,David Ryding,AUT,0
2019-10-27,Luke Winters,AUT,0
2019-10-27,Hannes Zingerle,AUT,0
2019-10-27,Matej Vidovic,AUT,0
2019-10-27,Riccardo Tonetti,AUT,0
2019-10-27,Giuliano Razzoli,AUT,0
2019-10-27,Felix Monsen,AUT,0
2019-10-27,Stefan Babinsky,AUT,0
2019-10-27,Samuel Dupratt,AUT,0
2019-10-27,Stian Saugestad,AUT,0
2019-10-27,Fritz Dopfer,AUT,0
2019-10-27,Christoph Krenn,AUT,0
2019-10-27,Mattias Roenngren,AUT,0
2019-10-27,Nils Mani,AUT,0
2019-10-27,Andreas Sander,AUT,0
2019-10-27,Brice Roger,AUT,0
2019-10-27,Stefan Rogentin,AUT,0
2019-10-27,Adrian Smiseth Sejersted,AUT,0
2019-10-27,Bostjan Kline,AUT,0
2019-10-27,Peter Fill,AUT,0
2019-10-27,Cyprien Sarrazin,AUT,0
2019-10-27,Miha Hrobat,AUT,0
2019-10-27,Gilles Roulin,AUT,0
2019-10-27,Matteo Marsaglia,AUT,0
2019-10-27,Dominik Schwaiger,AUT,0
2019-10-27,Alexander Koell,AUT,0
2019-10-27,Urs Kryenbuehl,AUT,0
2019-10-27,Christopher Neumayer,AUT,0
2019-10-27,James Crawford,AUT,0
2019-10-27,Stefan Brennsteiner,AUT,0
2019-10-27,Adam Zampa,AUT,0
2019-10-27,Lucas Braathen,AUT,40
2019-10-27,Dominik Stehle,AUT,0
2019-10-27,Giovanni Borsotti,AUT,0
2019-10-27,Aleksandr Andrienko,AUT,0
2019-10-27,Reto Schmidiger,AUT,0
2019-10-27,Julien Lizeroux,AUT,0
2019-10-27,Ralph Weber,AUT,0
2019-10-27,Jonathan Nordbotten,AUT,0
2019-10-27,Alexander Prast,AUT,0
2019-10-27,Cameron Alexander,AUT,0
2019-10-27,Davide Cazzaniga,AUT,0
2019-10-27,Lars Roesti,AUT,0
2019-10-27,Dong-Hyun Jung,AUT,0
2019-10-27,Anton Tremmel,AUT,0
2019-10-27,Christof Innerhofer,AUT,0
2019-10-27,Manuel Schmid,AUT,0
2019-10-27,Marc Rochat,AUT,0
2019-10-27,Johannes Strolz,AUT,0
2019-10-27,Tommaso Sala,AUT,0
2019-10-27,River Radamus,AUT,0
2019-10-27,Fabian Wilkens Solheim,AUT,0
2019-10-27,Atle Lie McGrath,AUT,0
2019-10-27,Simon Maurberger,AUT,0
2019-10-27,Samu Torsti,AUT,0
2019-10-27,Nicolas Raffort,AUT,0
2019-10-27,Johannes Kroell,AUT,0
2019-10-27,Florian Loriot,AUT,0
2019-10-27,Jan Zabystran,AUT,0
2019-10-27,Florian Schieder,AUT,0
2019-10-27,Guglielmo Bosca,AUT,0
2019-10-27,Blaise Giezendanner,AUT,0
2019-10-27,Jean-Baptiste Grange,AUT,0
2019-10-27,Fabio Gstrein,AUT,0
2019-10-27,Timon Haugan,AUT,0
2019-10-27,Brodie Seger,AUT,0
2019-10-27,Roy Piccard,AUT,0
2019-10-27,Mattia Casse,AUT,0
2019-10-27,Jared Goldberg,AUT,0
2019-10-27,Victor Muffat Jeandet,AUT,3
2019-10-27,Clement Noel,AUT,0
2019-10-27,Daniel Yule,AUT,0
2019-10-27,Ramon Zenhaeusern,AUT,0
2019-10-27,Andre Myhrer,AUT,0
2019-10-27,Kristoffer Jakobsen,AUT,0
2019-10-27,Alexander Schmid,AUT,4
2019-10-27,Christian Hirschbuehel,AUT,0
2019-10-27,Sebastian-Foss Solevaag,AUT,0
2019-10-27,Michael Matt,AUT,0
2019-10-27,Alex Vinatzer,AUT,0
2019-10-27,Sandro Simonet,AUT,0
2019-10-27,Istok Rodes,AUT,0
2019-10-27,Filip Zubcic,AUT,0
2019-10-27,Linus Strasser,AUT,0
2019-10-27,Luca Aerni,AUT,0
2019-10-27,Trevor Philp,AUT,5
2019-10-27,Cedric Noger,AUT,7
2019-10-27,Ryan Cochran-Siegle,AUT,24
2019-10-27,Manuel Feller,AUT,22
2019-10-27,Marco Odermatt,AUT,20
2019-10-27,Rasmus Windingstad,AUT,18
2019-10-27,Matthias Mayer,AUT,16
2019-10-27,Stefan Luitz,AUT,15
2019-10-27,Thibaut Favrot,AUT,6
2019-10-27,Matts Olsson,AUT,14
2019-10-27,Roland Leitinger,AUT,12
2019-10-27,Gino Caviezel,AUT,29
2019-10-27,Manfred Moelgg,AUT,11
2019-10-27,Aleksander Aamodt Kilde,AUT,10
2019-10-27,Thomas Tumler,AUT,9
2019-10-27,Justin Murisier,AUT,8
2019-10-27,Henrik Kristoffersen,AUT,13
2019-10-27,Luca De Aliprandini,AUT,32
2019-10-27,Loic Meillard,AUT,0
2019-10-27,Elias Kolega,AUT,0
2019-10-27,Maxence Muzaton,AUT,0
2019-10-27,Daniel Danklmaier,AUT,0
2019-10-27,Emanuele Buzzi,AUT,0
2019-10-27,Klemen Kosi,AUT,0
2019-10-27,Matthieu Bailet,AUT,0
2019-10-27,Nils Allegre,AUT,0
2019-10-27,Romed Baumann,AUT,0
2019-10-27,Niels Hintermann,AUT,0
2019-10-27,Bryce Bennett,AUT,0
2019-10-27,Martin Cater,AUT,0
2019-10-27,Christian Walder,AUT,0
2019-10-27,Max Franz,AUT,0
2019-10-27,Hannes Reichelt,AUT,0
2019-10-27,Benjamin Thomsen,AUT,0
2019-10-27,Othmar Striedinger,AUT,0
2019-10-27,Josef Ferstl,AUT,0
2019-10-27,Johan Clarey,AUT,0
2019-10-27,Steven Nyman,AUT,0
2019-10-27,Marc Digruber,AUT,0
2019-10-27,Tanguy Nef,AUT,0
2019-10-27,Stefan Hadalin,AUT,0
2019-10-27,Pavel Trikhichev,AUT,0
2019-10-27,Marco Schwarz,AUT,0
2019-10-27,Armand Marchant,AUT,0
2019-10-27,Thomas Dressen,AUT,0
2019-10-27,Dominik Paris,AUT,0
2019-10-27,Carlo Janka,AUT,0
2019-10-27,Beat Feuz,AUT,0
2019-10-27,Mauro Caviezel,AUT,0
